년도,격자코드,구분,총인구
2024,다라006600,to_in_001,8
2024,다라006601,to_in_001,0
2024,다라006612,to_in_001,13
2024,다라006613,to_in_001,13
2024,다라006629,to_in_001,8
2024,다라006635,to_in_001,5
2024,다라006675,to_in_001,5
2024,다라006678,to_in_001,5
2024,다라006679,to_in_001,8
2024,다라006689,to_in_001,8
2024,다라006690,to_in_001,8
2024,다라006691,to_in_001,13
2024,다라006692,to_in_001,5
2024,다라006699,to_in_001,8
2024,다라006700,to_in_001,8
2024,다라006701,to_in_001,28
2024,다라006702,to_in_001,8
2024,다라006705,to_in_001,5
2024,다라006706,to_in_001,5
2024,다라006707,to_in_001,0
2024,다라006844,to_in_001,5
2024,다라006849,to_in_001,5
2024,다라006851,to_in_001,5
2024,다라006898,to_in_001,5
2024,다라006899,to_in_001,5
2024,다라006922,to_in_001,13
2024,다라006954,to_in_001,5
2024,다라006956,to_in_001,0
2024,다라006957,to_in_001,0
2024,다라006963,to_in_001,5
2024,다라006965,to_in_001,13
2024,다라006966,to_in_001,5
2024,다라006990,to_in_001,5
2024,다라006991,to_in_001,5
2024,다라006992,to_in_001,13
2024,다라006993,to_in_001,5
2024,다라007072,to_in_001,13
2024,다라007073,to_in_001,23
2024,다라007074,to_in_001,18
2024,다라007200,to_in_001,5
2024,다라007201,to_in_001,8
2024,다라007206,to_in_001,5
2024,다라007210,to_in_001,5
2024,다라007212,to_in_001,5
2024,다라007312,to_in_001,8
2024,다라007313,to_in_001,5
2024,다라007398,to_in_001,5
2024,다라007405,to_in_001,5
2024,다라007416,to_in_001,24
2024,다라007456,to_in_001,23
2024,다라007457,to_in_001,0
2024,다라007458,to_in_001,90
2024,다라007459,to_in_001,94
2024,다라007460,to_in_001,99
2024,다라007461,to_in_001,75
2024,다라007462,to_in_001,18
2024,다라007463,to_in_001,5
2024,다라007464,to_in_001,8
2024,다라007465,to_in_001,13
2024,다라007466,to_in_001,13
2024,다라007467,to_in_001,145
2024,다라007468,to_in_001,130
2024,다라007469,to_in_001,48
2024,다라007470,to_in_001,116
2024,다라007471,to_in_001,281
2024,다라007472,to_in_001,418
2024,다라007474,to_in_001,0
2024,다라007485,to_in_001,33
2024,다라007486,to_in_001,5
2024,다라007487,to_in_001,5
2024,다라007490,to_in_001,23
2024,다라007491,to_in_001,5
2024,다라007493,to_in_001,18
2024,다라007494,to_in_001,8
2024,다라007501,to_in_001,8
2024,다라007506,to_in_001,8
2024,다라007507,to_in_001,8
2024,다라007508,to_in_001,8
2024,다라007509,to_in_001,8
2024,다라007529,to_in_001,5
2024,다라007530,to_in_001,23
2024,다라007531,to_in_001,13
2024,다라007538,to_in_001,5
2024,다라007539,to_in_001,5
2024,다라007540,to_in_001,5
2024,다라007541,to_in_001,0
2024,다라007543,to_in_001,5
2024,다라007564,to_in_001,5
2024,다라007565,to_in_001,5
2024,다라007577,to_in_001,5
2024,다라007608,to_in_001,5
2024,다라007609,to_in_001,5
2024,다라007611,to_in_001,5
2024,다라007612,to_in_001,8
2024,다라007613,to_in_001,8
2024,다라007634,to_in_001,8
2024,다라007676,to_in_001,5
2024,다라007682,to_in_001,5
2024,다라007684,to_in_001,5
2024,다라007693,to_in_001,0
2024,다라007699,to_in_001,8
2024,다라007700,to_in_001,18
2024,다라007701,to_in_001,5
2024,다라007702,to_in_001,18
2024,다라007703,to_in_001,8
2024,다라007705,to_in_001,0
2024,다라007846,to_in_001,0
2024,다라007848,to_in_001,5
2024,다라007855,to_in_001,0
