행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
도봉구,학원,다산수학영어학원,서울특별시 도봉구 노해로 174,입시.검정 및 보습,보통교과,,128,20021001,20231018
노원구,학원,채움학원,서울특별시 노원구 월계로 370,입시.검정 및 보습,보통교과,"보습,진학상담지도",151,20041012,20250629
노원구,교습소,피아노치는베토벤음악교습소,서울특별시 노원구 중계로 230,예능(대),예능(중),체르니30(1),56,20041008,20250112
서대문구,학원,정석학원,서울특별시 서대문구 세검정로 90,입시.검정 및 보습,보통교과,보습,19,20041011,20260201
송파구,교습소,피아노교습소(도행자),서울특별시 송파구 한가람로,예능(대),예능(중),음악,9,19820216,20231018
강동구,교습소,주산교습소(박갑출),서울특별시 강동구 올림픽로 552,기타(대),기타(중),주산,6,19820625,20250914
노원구,학원,노원올수학영어학원,서울특별시 노원구 동일로 1619,입시.검정 및 보습,보통교과,보습,0,20021007,20260201
양천구,학원,말글삶학원,서울특별시 양천구 목동동로 431,입시.검정 및 보습,보통교과,보습?논술,0,20041019,20250209
강서구,학원,템스터디독서실,서울특별시 강서구 양천로 686,독서실,독서,"독서실(유아/초?중?고),",218,20041019,20260208
구로구,학원,대치학원,서울특별시 구로구 중앙로1길 25,입시.검정 및 보습,보통교과,보습?논술,0,20041008,20250406
강남구,학원,천개의고원초등관학원,서울특별시 강남구 삼성로 327,입시.검정 및 보습,보통교과,보습?논술,1026,20041020,20250914
강서구,학원,최강보습학원,서울특별시 강서구 강서로45길 28,입시.검정 및 보습,보통교과,보습,230,20041022,20260329
