행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
송파구,교습소,캐더린영어교습소,서울특별시 송파구 위례광장로 270,입시.검정 및 보습,보통교과,"초등영어(4주)(주2회,회215분)",18,20210507,20250907
송파구,학원,김종현수학학원,서울특별시 송파구 마천로 20,입시.검정 및 보습,보통교과,보습,16,20210510,20260802
동대문구,학원,더쌤영어수학1관전문학원,서울특별시 동대문구 장안벚꽃로1길 7,입시.검정 및 보습,보통교과,보습,84,20210506,20240908
강서구,교습소,그랑그림미술교습소,서울특별시 강서구 마곡중앙1로 20,예능(대),예능(중),초등A,28,20210507,20231018
도봉구,교습소,플레이팩토키즈브레인숲교구수학교습소,서울특별시 도봉구 해등로 190,입시.검정 및 보습,보통교과,초등수학1,15,20210510,20260607
동작구,교습소,그린나래미술교습소,서울특별시 동작구 여의대방로10길 59,예능(대),예능(중),미술A,28,20110223,20240908
송파구,교습소,제이제이과학교습소,서울특별시 송파구 가락로 248,입시.검정 및 보습,보통교과,,9,20210511,20231018
송파구,학원,장은주영어학원,서울특별시 송파구 오금로 473,입시.검정 및 보습,보통교과,보습,91,20210511,20250112
동작구,교습소,미미아트스튜디오미술교습소,서울특별시 동작구 흑석한강로 27,예능(대),예능(중),초등 아트키즈,24,20210511,20231018
서대문구,교습소,생각이자라는독서논술교습소,서울특별시 서대문구 세검정로1길 102,입시.검정 및 보습,보통교과,,20,20210511,20231018
양천구,학원,리젠영어4관학원,서울특별시 양천구 목동동로 423,종합(대),보통교과,,215,20210511,20260426
양천구,학원,엘지피아이어학원,서울특별시 양천구 목동중앙로 97,국제화,보통교과,,0,20210511,20250831
서초구,교습소,한우리독서토론반포4동논술교습소,서울특별시 서초구 사평대로 122,입시.검정 및 보습,보통교과,,6,20210511,20231018
마포구,교습소,포코파카바이올린교습소,서울특별시 마포구 대흥로24길 24,예능(대),예능(중),바이올린 초급,27,20210430,20240526
마포구,교습소,생각의힘을키우는마인드맵국어교습소,서울특별시 마포구 월드컵로25길 78,입시.검정 및 보습,보통교과,초등마인드맵A(1회),66,20210504,20260607
강북구,교습소,베스트멘토영어교습소,서울특별시 강북구 오패산로30길 30,입시.검정 및 보습,보통교과,초등영어A,60,20210510,20260802
종로구,학원,아로새김학원,서울특별시 종로구 자하문로 238,입시.검정 및 보습,보통교과,,40,20210429,20231018
구로구,학원,코드캠프학원,서울특별시 구로구 디지털로 300,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),",25,20210511,20231018
용산구,교습소,엘림스트링(Elim String)음악교습소,서울특별시 용산구 백범로90길 90,예능(대),예능(중),,12,20210512,20250413
영등포구,학원,당산색소폰음악학원,서울특별시 영등포구 양평로 55,기예(대),기예(중),,30,20210512,20231217
중랑구,학원,매쓰핏수학학원,서울특별시 중랑구 봉화산로 70,입시.검정 및 보습,보통교과,,110,20210511,20231018
송파구,교습소,송파이화바이올린교습소,서울특별시 송파구 동남로 189,예능(대),예능(중),"바이올린입문(4.2주)(주3회,회90분)",20,20210513,20250727
강남구,학원,필에듀학원,서울특별시 강남구 선릉로68길 10,입시.검정 및 보습,보통교과,보습,282,20210426,20250223
강남구,교습소,벼리아카데미진학상담지도교습소,서울특별시 강남구 논현로175길 25,입시.검정 및 보습,진학지도,,3,20210503,20231018
강남구,학원,세정대치관5층학원,서울특별시 강남구 삼성로63길 15-3,입시.검정 및 보습,보통교과,보습?논술,904,20210513,20260329
용산구,학원,역전타에듀학원,서울특별시 용산구 원효로97길 37,입시.검정 및 보습,보통교과,보습,60,20210512,20260201
강서구,학원,논리와수학학원,서울특별시 강서구 공항대로 103,입시.검정 및 보습,보통교과,,29,20210514,20231018
양천구,교습소,수학발전소수학교습소,서울특별시 양천구 목동동로 100,입시.검정 및 보습,보통교과,,21,20210514,20231018
강동구,학원,엘림피아노음악학원,서울특별시 강동구 동남로65길 52-15,예능(대),예능(중),"음악,",30,20210514,20231018
강남구,학원,스누국악학원,서울특별시 강남구 선릉로 664,종합(대),예능(중),"보습?논술,음악",1474,20210514,20260607
강동구,학원,고덕강일G1230학원,서울특별시 강동구 아리수로93나길 38,입시.검정 및 보습,보통교과,보습,327,20210514,20260426
강남구,학원,박샘조형예술학원,서울특별시 강남구 선릉로82길 10,예능(대),예능(중),,194,20210514,20231018
성북구,학원,피아노슈필라움음악학원,서울특별시 성북구 보문로34길 59,기예(대),기예(중),"실용음악(성악),",430,20210513,20231018
노원구,학원,보스영어학원,서울특별시 노원구 동일로 1368,입시.검정 및 보습,보통교과,보습,0,20250207,20260607
강남구,학원,국어의길학원,서울특별시 강남구 선릉로62길 5,입시.검정 및 보습,보통교과,,78,20210513,20231018
