행정구역명,학원/교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,휴원시작일자,휴원종료일자,개설일자,적재일시
강남구,학원,3000017798,박준영논리속독학원,서울특별시 강남구 광평로10길 15,"212호(일원동,상록수아파트)",기타(대),기타(중),기타(중),기타(중),36,73,,Y,N,6360,개원,20130722,,99991231,20130722,20260607
강남구,학원,3000017801,후스토연기학원,서울특별시 강남구 학동로33길 24,"1층 1호(논현동, 정우빌딩)",기예(대),기예(중),"연기(연극,뮤지컬,오페라)","연기(연극,뮤지컬,오페라)",118,59,,Y,N,6053,개원,20130724,,99991231,20130724,20250824
서초구,학원,3000017804,사람인아트스튜디오학원,서울특별시 서초구 서초대로53길 19,", 402호 (서초동, 상인빌딩)",예능(대),예능(중),"미술,",미술,250,60,,Y,N,6604,개원,20130724,,99991231,20130724,20251005
강남구,학원,3000017815,강남잉글리쉬아카데미학원,서울특별시 강남구 언주로164길 12,", 5층 (신사동, 명진빌딩)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),124,147,,Y,N,6020,개원,20130726,,99991231,20130726,20260315
양천구,학원,3000017823,청담클루빌목동3빌리지학원,서울특별시 양천구 오목로 200-1,", 2층 (신정동)",입시.검정 및 보습,보통교과,보습,보습,95,35,,Y,N,8021,개원,20130718,,99991231,20130718,20250112
중랑구,학원,3000017828,더엘리트1관학원,서울특별시 중랑구 동일로138길 15,",  2층 (중화동,한결서예)",입시.검정 및 보습,보통교과,보습,보습,250,74,,Y,N,131875,개원,20130730,,99991231,20130730,20240707
강남구,교습소,3000017832,기백한국사교습소,서울특별시 강남구 삼성로67길 3,", B02호 (대치동)",입시.검정 및 보습,보통교과,초등A,보습,30,5,,Y,N,135998,개원,20130726,,99991231,20130726,20260607
양천구,학원,3000017842,아트앤하트목4동미술학원,서울특별시 양천구 목동중앙본로7길 45,", 목동시장아울렛상가 206호일부,207호 (목동,목동보미리즌빌)",예능(대),예능(중),미술,미술,30,36,,Y,N,158815,개원,20130730,,99991231,20130730,20240317
노원구,학원,3000017849,어썸잉글리쉬학원,서울특별시 노원구 공릉로34길 10-2,", 3층 (공릉동, 평보빌딩)",입시.검정 및 보습,보통교과,보습,보습,40,72,,Y,N,1824,개원,20130801,,99991231,20130801,20260607
노원구,학원,3000017853,격수당수학학원,서울특별시 노원구 중계로 217,", 401,404호 (중계동,중계중흥빌딩)",입시.검정 및 보습,보통교과,,보습,50,70,,Y,N,139860,개원,20130801,,99991231,20130801,20231018
마포구,학원,3000017854,국어의힘학원,서울특별시 마포구 월드컵북로 205,", 2층",입시.검정 및 보습,보통교과,"보습,",보습,20,80,,Y,N,121270,개원,20130801,,99991231,20130801,20231018
금천구,학원,3000017857,김도규수학학원,서울특별시 금천구 시흥대로 204,", 6층 일부 (시흥동, 성보빌딩)",입시.검정 및 보습,보통교과,보습,보습,90,74,,Y,N,8629,개원,20130801,,99991231,20130801,20251102
마포구,학원,3000017861,벼랑영어학원,서울특별시 마포구 월드컵북로2길 11,", 2층 일부(좌측)(동교동)",국제화,국제,통역(성인),통역(성인),216,72,,Y,N,121898,개원,20130802,,99991231,20130802,20250518
영등포구,학원,3000017862,더멘토2관학원,서울특별시 영등포구 국제금융로 78,", 803호 일부, 804호  (여의도동, 홍우빌딩)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,160,79,,Y,N,7333,개원,20130802,,99991231,20130802,20240602
성북구,학원,3000017871,석계간호조무사학원,서울특별시 성북구 화랑로 262,", 2층 (석관동)",직업기술,간호보조기술,"간호조무사,",간호조무사,300,150,,Y,N,2783,개원,20130802,,99991231,20130802,20231018
관악구,학원,3000017876,제로인테리어필름학원,서울특별시 관악구 봉천로 289,", 2층~3층 (봉천동)",직업기술,산업서비스,"도배,",도배,34,108,,Y,N,8720,개원,20130723,,99991231,20130723,20231018
강동구,학원,3000017882,칸타빌레무용학원,서울특별시 강동구 양재대로 1638,", 4층 일부 (명일동)",예능(대),예능(중),무용,무용,40,20,,Y,N,5266,개원,20130806,,99991231,20130806,20260201
성북구,학원,3000017883,누리안국어학원,서울특별시 성북구 동소문로 248,", 3층 5,6,7,8,10,14-1,14-2호(길음동, 돈암2-1 삼부아파트상가 102동)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,516,172,,Y,N,2735,개원,20130806,,99991231,20130806,20260712
강남구,학원,3000017884,한국국제어학원,서울특별시 강남구 역삼로9길 21,", 1층, 2층, 3층 일부(301호)(역삼동)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),495,165,,Y,N,6244,개원,20130805,,99991231,20130805,20250112
중구,교습소,3000017889,대창중국어교습소,서울특별시 중구 명동2길 57,", 302호 (충무로1가)",국제화,외국어,초등 중국어 초급,실용외국어(유아/초?중?고),27,9,,Y,N,100011,개원,20130806,,99991231,20130806,20250720
영등포구,학원,3000017890,씨씨이에스(CCES)여의도어학원,서울특별시 영등포구 국제금융로6길 26,", 11층 일부 (여의도동, 한국노총)",종합(대),,"기타(소),실용외국어(유아/초?중?고)",,96,263,,Y,N,7328,개원,20130806,,99991231,20130806,20260712
구로구,학원,3000017892,위너스보습학원,서울특별시 구로구 천왕로 36,", 603호 일부, 604호  (천왕동, 천왕센타프라자)",입시.검정 및 보습,보통교과,보습,보습,115,99,,Y,N,8365,개원,20130806,,99991231,20130806,20251102
서초구,학원,3000017895,서울국제크리스천아카데미(SICA)학원,서울특별시 서초구 강남대로6길 90-23,", 1층~3층 전체 (양재동)",종합(대),,"미술,보습,실용외국어(유아/초?중?고),음악",,272,379,,Y,N,6789,개원,20130805,,99991231,20130805,20260426
강북구,교습소,3000017908,다성중국어교습소,서울특별시 강북구 한천로155길 43,수유벽산아파트 상가A동 218호(수유동),국제화,외국어,중국어초급A,실용외국어(유아/초?중?고),54,9,"중국어초급A:110000, 중국어중급A:110000, 중국어고급A:110000, 중국어초급B:170000, 중국어중급B:170000, 중국어고급B:170000",Y,N,1042,개원,20130808,,99991231,20130808,20260607
양천구,학원,3000017910,씨앤씨2관학원,서울특별시 양천구 목동동로 55,", 밀레니엄프라자 3층 301호,7층702,703호,8층801호 (신정동, 밀레니엄프라자)",입시.검정 및 보습,보통교과,보습,보습,360,16,,Y,N,158070,개원,20130808,,99991231,20130808,20260426
강동구,학원,3000017913,신동철의생각의차이학원,서울특별시 강동구 동남로71길 20,", 2층 (명일동, 청솔빌딩)",입시.검정 및 보습,보통교과,보습,보습,360,100,,Y,N,5269,개원,20130807,,99991231,20130807,20260607
