stationId,stationType,stationName,stationAddress,direction,longitude,latitude,localInfo
406001173,신형,동홍 사거리,서귀포시 동홍동,위미-중앙R,126.568548,33.254735,농협 서귀포 지점 앞
406000512,일반형,동홍대림,서귀포시 동홍동,중앙R-하례리,126.572117,33.255733,돈사촌 우측
406000511,일반형,동홍대림,서귀포시 동홍동,남주고-중앙R,126.572017,33.255917,동홍대림아파트 102동 앞
406000396,현대카드,동홍반석아파트입구,서귀포시 동홍동,중앙R-남주고,126.56774,33.262687,동홍로 162번길 2 앞
406000283,일반형,동홍분식,서귀포시 동홍동,신시가지-남주고,126.56835,33.266717,동흥분식 맞은편
406000282,일반형,동홍분식,서귀포시 동홍동,남주고-중앙R,126.568159,33.266759,동흥분식 앞
406000479,정낭형,동홍청소년문화의집,서귀포시 동홍동,남주고-중앙R,126.567771,33.265,사리원 우측
406000395,신형,동홍청소년문화의집,서귀포시 동홍동,중앙R-남주고 방향,126.567983,33.265217,국수와순대이야기 앞(동홍분식방향)
406000285,현대카드,동홍청소년문화의집,서귀포시 동홍동,하례리-중앙R,126.569303,33.265947,샘물공조냉동 건너편
406000284,현대카드,동홍청소년문화의집,서귀포시 동홍동,중앙R-하례리,126.570562,33.265438,공예마을 우측
406000354,일반형,동홍초등학교,서귀포시 동홍동,중앙R-하례리,126.569173,33.259262,동홍초등학교 앞
406000353,일반형,동홍초등학교,서귀포시 동홍동,남주고-중앙R,126.570835,33.259231,체리블로섬 앞
406000468,일반형,동홍초등학교 입구,서귀포시 동홍동,남주고-중앙R,126.568116,33.258572,세흥자동차용품 건너편
406001372,신형,동홍초등학교입구,서귀포시 동홍동,남주고-중앙R,126.568483,33.258877,청송골 앞
405001435,표지판형,동회천,제주시 봉개동,"",126.61345,33.50455,""
405001155,현대카드,동회천,제주시 봉개동,서귀-제주,126.613383,33.50465,중산간동로 232건물 건너편
406002055,"",두리동 입구,가시리 2787-3,"",126.761687,33.354215,""
405001270,도시형,두모리사무소,제주시 한경면,제주-서귀,126.185335,33.353968,한경면사무소 방향
405001269,도시형,두모리사무소,제주시 한경면,서귀-제주,126.185283,33.353517,금등리마을 방향
405002081,현대카드,두문이머세(두맹이골목),제주시 일도2동,"",126.536617,33.510423,""
405002080,현대카드,두문이머세(두맹이골목),제주시 일도2동,"",126.536355,33.510606,""
405002232,표지판형,두문포 노린당,제주시 구좌읍,"",126.909182,33.496314,""
405002231,표지판형,두문포 노린당,제주시 구좌읍,"",126.909291,33.496442,""
406002039,"",두성가름,"","",126.818108,33.331719,""
406002038,"",두성가름,"","",126.818178,33.331757,""
406000613,정낭형,두수동,서귀포시 표선면 가시리,토산-표선,126.763266,33.351396,토산1리 방향
405001735,없음,두인빌라 삼거리,제주시 애월읍,하귀-고성,126.40412,33.424105,삼성필라이팅 사무실 맞은편
405001734,표지판형,두인빌라 삼거리,제주시 애월읍,고성-하귀,126.404092,33.424067,삼성필라이팅 사무실 앞
405002010,없음,둔지오름,제주시 구좌읍,"",126.799042,33.505132,""
405002009,없음,둔지오름,제주시 구좌읍,"",126.798935,33.505148,""
