행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시,X좌표,Y좌표,집계구코드,읍면동
도봉구,학원,꿈꾸는음악학원,서울특별시 도봉구 삼양로146길 18,예능(대),예능(중),음악,1200,20100705,20250525,957101.499222612,1961546.4252043,11100510010003,서울특별시_도봉구_쌍문1동
송파구,학원,눈높이러닝센터마천학원,서울특별시 송파구 마천로51길 23,입시.검정 및 보습,보통교과,보습,583,20100624,20260621,969255.997797026,1944245.51098073,11240560010016,서울특별시_송파구_마천2동
성북구,교습소,김정준국어교습소,서울특별시 성북구 아리랑로3길 3,입시.검정 및 보습,보통교과,I 기초반(고등),27,20100705,20231018,957282.646917255,1955014.98266883,11080830010009,서울특별시_성북구_동선동
은평구,학원,제이영어학원,서울특별시 은평구 연서로27길 20-3,입시.검정 및 보습,보통교과,보습,63,20100705,20251019,948577.605860282,1957837.6067438,11120560010009,서울특별시_은평구_갈현2동
동대문구,교습소,채움수학교습소,서울특별시 동대문구 약령시로 13,입시.검정 및 보습,보통교과,초등수학 W,90,20100706,20250928,958610.775225839,1953820.84190815,11060820040009,서울특별시_동대문구_제기동
용산구,교습소,디앤디(D&D)음악교습소,서울특별시 용산구 백범로 341,예능(대),예능(중),,48,20100707,20250601,952941.24816362,1948903.91460682,11030720020101,서울특별시_용산구_원효로1동
강동구,학원,리틀팍스어학학원,서울특별시 강동구 동남로71길 23,국제화,외국어,실용외국어(유아/초?중?고),24,20030823,20260607,969497.705144384,1950294.0094458,11250540010006,서울특별시_강동구_명일2동
종로구,학원,B.K.영어전문학원,서울특별시 종로구 평창12길 3,입시.검정 및 보습,보통교과,보습,40,20100707,20260719,952974.647646622,1956440.08096997,11010560010020,서울특별시_종로구_평창동
강동구,학원,프레파발레학원,서울특별시 강동구 올림픽로 816,예능(대),예능(중),무용,40,20100707,20250112,967240.505373565,1950547.28896772,11250720010009,서울특별시_강동구_암사1동
강남구,학원,매쓰몽대치1관학원,서울특별시 강남구 선릉로 120,입시.검정 및 보습,보통교과,보습?논술,150,20100707,20260607,961106.234367565,1943745.05053758,11230600010102,서울특별시_강남구_대치1동
노원구,학원,비와이(BY)학원,서울특별시 노원구 중계로18길 17,입시.검정 및 보습,진학지도,"진학상담지도,",80,20030826,20231018,962763.557080264,1961423.32844278,11110600010201,서울특별시_노원구_중계본동
강북구,교습소,김태희피아노교습소,서울특별시 강북구 솔샘로 203-2,예능(대),예능(중),체르니100B,15,20100708,20250413,957230.456029545,1957984.71622217,11090690010034,서울특별시_강북구_삼양동
서대문구,학원,퀸실용음악학원,서울특별시 서대문구 신촌역로 29,기예(대),기예(중),"실용음악(성악),",18,20100708,20240707,950724.908694428,1951214.70581517,11130750040023,서울특별시_서대문구_신촌동
도봉구,학원,스마트잉글리시(Smart English)학원,서울특별시 도봉구 해등로26길 7,입시.검정 및 보습,보통교과,보습,0,20100709,20260712,958773.092876859,1962204.6592761,11100540011202,서울특별시_도봉구_쌍문4동
