"X2","X4_합"
"라라3053",45
"라라3054",53
"라라3055",109
"라라3056",0
"라라3059",34
"라라3060",10
"라라3064",21
"라라3065",36
"라라3066",45
"라라3067",41
"라라3068",0
"라라3069",36
"라라3070",25
"라라3072",8
"라라3073",10
"라라3074",28
"라라3075",26
"라라3076",31
"라라3080",13
"라라3081",13
"라라3082",21
"라라3083",22
"라라3087",5
"라라3088",21
"라라3089",5
"라라3090",16
"라라3091",5
"라라3093",5
"라라3095",13
"라라3096",31
"라라3097",88
"라라3098",79
"라라3099",24
"라라3139",8
"라라3140",39
"라라3141",50
"라라3143",50
"라라3144",26
"라라3145",36
"라라3146",10
"라라3152",0
"라라3153",44
"라라3155",31
"라라3156",13
"라라3162",21
"라라3163",24
"라라3164",36
"라라3165",26
"라라3169",48
"라라3170",34
"라라3171",31
"라라3172",59
"라라3173",33
"라라3174",25
"라라3175",8
"라라3176",13
"라라3177",42
"라라3178",13
"라라3179",21
"라라3180",5
"라라3183",0
"라라3188",18
"라라3189",10
"라라3193",5
"라라3194",5
"라라3195",5
"라라3196",13
"라라3197",56
"라라3198",63
"라라3238",72
"라라3239",5
"라라3240",13
"라라3241",24
"라라3242",8
"라라3243",76
"라라3245",0
"라라3246",124
"라라3248",8
"라라3252",13
"라라3253",16
"라라3256",16
"라라3257",5
"라라3258",40
"라라3259",18
"라라3261",83
"라라3262",41
"라라3263",26
"라라3264",0
"라라3269",0
"라라3270",18
"라라3271",45
"라라3272",21
"라라3273",46
"라라3274",46
"라라3275",24
"라라3276",5
"라라3277",26
"라라3279",51
"라라3280",31
"라라3283",41
"라라3287",5
"라라3296",0
"라라3298",5
"라라3337",81
"라라3339",63
"라라3341",10
"라라3342",18
"라라3343",64
"라라3344",5
"라라3345",18
"라라3346",19
"라라3347",0
"라라3348",24
"라라3352",10
"라라3353",5
"라라3355",139
"라라3356",36
"라라3357",10
"라라3358",20
"라라3359",31
"라라3360",35
"라라3361",26
"라라3365",0
"라라3369",33
"라라3370",5
"라라3371",5
"라라3372",13
"라라3373",0
"라라3374",10
"라라3375",0
"라라3378",13
"라라3379",13
"라라3380",0
"라라3381",21
"라라3382",28
"라라3383",0
"라라3385",0
"라라3387",0
"라라3388",21
"라라3389",21
"라라3390",10
"라라3391",13
"라라3393",18
"라라3397",13
"라라3436",0
"라라3439",0
"라라3441",5
"라라3442",44
"라라3443",5
"라라3444",10
"라라3445",0
"라라3446",5
"라라3447",54
"라라3448",10
"라라3449",33
"라라3450",21
"라라3452",13
"라라3453",16
"라라3454",54
"라라3455",73
"라라3456",72
"라라3458",0
"라라3459",59
"라라3460",40
"라라3461",88
"라라3462",5
"라라3464",13
"라라3467",5
"라라3469",16
"라라3470",31
"라라3473",10
"라라3474",5
"라라3475",46
"라라3476",13
"라라3478",0
"라라3479",41
"라라3480",10
"라라3481",26
"라라3482",13
"라라3483",21
"라라3484",24
"라라3485",39
"라라3486",55
"라라3487",207
"라라3488",26
"라라3489",25
"라라3490",16
"라라3491",31
"라라3492",18
"라라3493",23
"라라3497",5
"라라3536",5
"라라3538",5
"라라3539",5
"라라3541",88
"라라3542",69
"라라3546",24
"라라3547",60
"라라3548",89
"라라3549",795
"라라3550",21
"라라3551",10
"라라3552",53
"라라3553",116
"라라3554",59
"라라3555",54
"라라3556",16
"라라3557",39
"라라3559",16
"라라3560",0
"라라3561",16
"라라3563",16
"라라3564",52
"라라3568",5
"라라3569",13
"라라3570",56
"라라3571",18
"라라3572",31
"라라3573",27
"라라3574",13
"라라3578",18
"라라3579",39
"라라3580",54
"라라3581",26
"라라3582",10
"라라3584",13
"라라3585",35
"라라3586",21
"라라3587",26
"라라3588",21
"라라3589",23
"라라3590",21
"라라3591",46
"라라3592",15
"라라3593",34
"라라3594",34
"라라3595",5
"라라3596",31
"라라3597",21
"라라3598",13
"라라3599",10
"라라3636",0
"라라3637",36
"라라3638",10
"라라3639",10
"라라3640",24
"라라3641",64
"라라3642",59
"라라3647",18
"라라3648",87
"라라3649",541
"라라3650",193
"라라3651",302
"라라3652",32
"라라3653",5
"라라3654",23
"라라3655",34
"라라3658",8
"라라3659",6
"라라3660",21
"라라3661",0
"라라3663",21
"라라3664",10
"라라3665",31
"라라3666",8
"라라3667",10
"라라3668",41
"라라3669",34
"라라3670",401
"라라3671",29
"라라3672",34
"라라3673",10
"라라3674",13
"라라3675",0
"라라3678",5
"라라3679",15
"라라3680",56
"라라3681",5
"라라3682",13
"라라3683",26
"라라3684",18
"라라3685",16
"라라3686",40
"라라3687",23
"라라3688",22
"라라3689",16
"라라3690",21
"라라3691",21
"라라3692",18
"라라3693",21
"라라3694",21
"라라3695",26
"라라3696",34
"라라3697",5
"라라3698",5
"라라3699",5
"라라3738",5
"라라3739",41
"라라3741",15
"라라3742",0
"라라3746",5
"라라3747",44
"라라3748",38
"라라3749",0
"라라3750",168
"라라3755",90
"라라3756",24
"라라3757",10
"라라3758",49
"라라3759",82
"라라3760",24
"라라3764",72
"라라3765",0
"라라3766",74
"라라3767",40
"라라3768",72
"라라3769",45
"라라3770",16
"라라3771",59
"라라3772",0
"라라3773",31
"라라3774",10
"라라3775",0
"라라3776",5
"라라3778",5
"라라3781",24
"라라3782",5
"라라3783",18
"라라3784",10
"라라3785",15
"라라3786",41
"라라3787",0
"라라3789",0
"라라3791",19
"라라3792",10
"라라3793",10
"라라3794",10
"라라3795",5
"라라3796",13
"라라3797",13
"라라3798",10
"라라3799",44
"라라3842",10
"라라3846",56
"라라3847",34
"라라3848",80
"라라3855",31
"라라3856",59
"라라3857",42
"라라3858",69
"라라3859",71
"라라3860",0
"라라3865",0
"라라3866",5
"라라3867",10
"라라3869",28
"라라3870",26
"라라3871",5
"라라3872",18
"라라3873",5
"라라3874",18
"라라3875",10
"라라3876",5
"라라3877",13
"라라3878",16
"라라3879",20
"라라3880",5
"라라3881",0
"라라3882",10
"라라3884",0
"라라3885",24
"라라3886",26
"라라3887",41
"라라3888",21
"라라3889",26
"라라3890",18
"라라3891",26
"라라3892",21
"라라3893",0
"라라3894",5
"라라3895",5
"라라3896",18
"라라3897",0
"라라3898",5
"라라3899",18
"라라3942",77
"라라3943",21
"라라3946",77
"라라3947",84
"라라3948",52
"라라3957",5
"라라3968",23
