"X1","X2","X3","X4","source_file"
2024,"라라0280","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0280","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0286","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0287","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0287","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0287","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0288","ho_yr_001",29,"2024년_주택_라라_1K.csv"
2024,"라라0288","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0288","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0289","ho_yr_001",41,"2024년_주택_라라_1K.csv"
2024,"라라0289","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0289","ho_yr_003",33,"2024년_주택_라라_1K.csv"
2024,"라라0290","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0290","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0291","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0292","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0292","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0293","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0294","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0294","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0295","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0295","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0322","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0323","ho_yr_001",70,"2024년_주택_라라_1K.csv"
2024,"라라0323","ho_yr_002",23,"2024년_주택_라라_1K.csv"
2024,"라라0323","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0325","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0325","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0325","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0345","ho_yr_001",20,"2024년_주택_라라_1K.csv"
2024,"라라0345","ho_yr_003",21,"2024년_주택_라라_1K.csv"
2024,"라라0346","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0346","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0346","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0348","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0348","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0349","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0349","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0349","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0350","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0350","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0350","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0351","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0351","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0351","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0355","ho_yr_001",38,"2024년_주택_라라_1K.csv"
2024,"라라0355","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0355","ho_yr_003",23,"2024년_주택_라라_1K.csv"
2024,"라라0356","ho_yr_001",12,"2024년_주택_라라_1K.csv"
2024,"라라0356","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0356","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0357","ho_yr_001",33,"2024년_주택_라라_1K.csv"
